,X Axis,Y Axis,Z Axis
814204,-0.03617656,-0.010306,0.9742682
814206,-0.03617656,-0.01645893,0.9742682
814209,-0.04219592,-0.01645893,0.98043895
814212,-0.04219592,-0.0226118,0.98043895
814214,-0.03617656,-0.01645893,0.9866097
814216,-0.03617656,-0.01645893,0.9866097
814219,-0.03617656,-0.00415313,0.9989512
814221,-0.03015715,-0.01645893,0.98043895
814223,-0.02413779,-0.01645893,0.98043895
814225,-0.03015715,-0.01645893,0.98043895
814228,-0.02413779,-0.01645893,0.9866097
814230,-0.01811838,-0.01645893,0.9866097
814232,-0.01811838,-0.01645893,0.98043895
814235,-0.03015715,-0.0226118,0.98043895
814237,-0.01811838,-0.010306,0.9866097
814239,-0.01811838,-0.010306,0.9866097
814242,-0.01209903,-0.00415313,0.9866097
814244,-0.01209903,-0.010306,0.9866097
814246,-0.01811838,-0.01645893,0.99278045
814248,-0.01811838,-0.01645893,0.99278045
814252,-0.03617656,-0.04107052,0.9742682
814254,-0.01209903,-0.0226118,0.9866097
814256,-0.01209903,-0.02876472,0.9866097
814259,-0.01811838,-0.03491759,0.99278045
814261,-0.01811838,-0.04107052,0.9866097
814263,-0.01209903,-0.04107052,0.99278045
814265,-0.01811838,-0.04722339,0.99278045
814268,-0.03015715,-0.06568211,0.96809745
814270,-0.01811838,-0.04722339,0.99278045
814272,-0.01811838,-0.04722339,0.9866097
814275,-0.01811838,-0.04722339,0.99278045
814277,-0.02413779,-0.04722339,0.9866097
814279,-0.02413779,-0.04107052,0.9866097
814282,-0.02413779,-0.04107052,0.9866097
814284,-0.01811838,-0.03491759,0.9742682
814286,-0.02413779,-0.03491759,0.99278045
814288,-0.01811838,-0.02876472,0.9866097
814291,-0.02413779,-0.02876472,0.9866097
814294,-0.01811838,-0.0226118,0.9866097
814296,-0.02413779,-0.01645893,0.9866097
814299,-0.02413779,-0.01645893,0.98043895
814301,-0.02413779,-0.00415313,0.99278045
814303,-0.03015715,-0.00415313,0.9866097
814306,-0.03015715,-0.00415313,0.9866097
814308,-0.03015715,-0.00415313,0.9866097
814310,-0.03015715,0.00199974,0.9866097
814312,-0.03015715,0.00199974,0.99278045
814315,-0.03015715,0.00199974,0.9866097
814317,-0.02413779,0.00815272,0.9989512
814319,-0.02413779,0.00199974,0.9989512
814322,-0.03015715,-0.00415313,0.99278045
814324,-0.03015715,0.00199974,0.99278045
814326,-0.03015715,0.00199974,0.99278045
814328,-0.03617656,0.00199974,0.9866097
814331,-0.03617656,0.00199974,0.9866097
814333,-0.03617656,0.00199974,0.99278045
814336,-0.03617656,0.00815272,0.9866097
814339,-0.03015715,0.00199974,0.98043895
814341,-0.03015715,0.00815272,0.98043895
814343,-0.03617656,0.00199974,0.98043895
814346,-0.03015715,-0.00415313,0.98043895
