,X Axis,Y Axis,Z Axis
61842,-0.03015715,-0.010306,0.98043895
61844,-0.03015715,-0.010306,0.9866097
61846,-0.02413779,-0.010306,0.98043895
61848,-0.02413779,-0.010306,0.9866097
61851,-0.03015715,-0.01645893,0.98043895
61853,-0.03015715,-0.010306,0.98043895
61855,-0.03015715,-0.010306,0.9742682
61858,-0.03015715,-0.00415313,0.98043895
61860,-0.02413779,-0.010306,0.98043895
61862,-0.02413779,-0.01645893,0.9742682
61864,-0.03015715,-0.010306,0.98043895
61868,-0.01811838,-0.010306,0.9742682
61870,-0.02413779,-0.01645893,0.9866097
61872,-0.02413779,-0.010306,0.98043895
61875,-0.02413779,-0.00415313,0.9866097
61877,-0.03015715,-0.00415313,0.98043895
61879,-0.02413779,-0.010306,0.9742682
61882,-0.03015715,-0.010306,0.9742682
61884,-0.01811838,-0.00415313,0.98043895
61886,-0.02413779,-0.010306,0.9866097
61888,-0.02413779,-0.010306,0.9866097
61891,-0.02413779,-0.010306,0.9866097
61893,-0.02413779,-0.010306,0.98043895
61895,-0.02413779,-0.010306,0.98043895
61898,-0.03015715,-0.010306,0.9742682
61900,-0.03617656,-0.010306,0.9866097
61902,-0.03015715,-0.010306,0.9742682
61904,-0.03015715,-0.010306,0.9742682
61907,-0.02413779,-0.010306,0.9742682
61910,-0.02413779,-0.01645893,0.98043895
61912,-0.03015715,-0.010306,0.98043895
61915,-0.03015715,-0.010306,0.98043895
61917,-0.04219592,-0.0226118,0.9742682
61919,-0.02413779,-0.010306,0.98043895
61922,-0.03015715,-0.010306,0.98043895
61924,-0.02413779,-0.010306,0.98043895
61926,-0.02413779,-0.010306,0.9742682
61928,-0.03015715,-0.01645893,0.9742682
61931,-0.03015715,-0.010306,0.9742682
61933,-0.04219592,-0.02876472,0.95575595
61935,-0.03015715,-0.010306,0.9742682
61938,-0.02413779,-0.010306,0.9742682
61940,-0.02413779,-0.010306,0.9866097
61942,-0.02413779,-0.010306,0.98043895
61944,-0.03015715,-0.010306,0.98043895
61947,-0.03015715,-0.010306,0.9742682
61949,-0.03015715,-0.01645893,0.9495852
61952,-0.02413779,-0.010306,0.9742682
61955,-0.03015715,-0.010306,0.9742682
61957,-0.03015715,-0.010306,0.9866097
61959,-0.03015715,-0.010306,0.98043895
61962,-0.03015715,-0.01645893,0.98043895
61964,-0.02413779,-0.010306,0.98043895
61966,-0.02413779,-0.00415313,0.9742682
61968,-0.03015715,-0.010306,0.96809745
61971,-0.03015715,-0.010306,0.9742682
61973,-0.02413779,-0.010306,0.9742682
61975,-0.01811838,-0.01645893,0.98043895
61978,-0.02413779,-0.01645893,0.96809745
61980,-0.02413779,-0.01645893,0.9742682
61982,-0.01811838,0.00199974,0.98043895
61985,-0.03015715,-0.010306,0.9742682
61987,-0.03617656,-0.00415313,0.9742682
61989,-0.03015715,-0.010306,0.9742682
61991,-0.03015715,-0.010306,0.9742682
61995,-0.02413779,-0.010306,0.9742682
61997,-0.03015715,-0.010306,0.9742682
61999,-0.03015715,0.00199974,0.9866097
62002,-0.02413779,-0.00415313,0.9742682
62004,-0.03015715,-0.010306,0.9742682
62006,-0.03015715,-0.010306,0.9742682
62008,-0.03015715,-0.01645893,0.98043895
62011,-0.03015715,-0.01645893,0.98043895
62013,-0.03015715,-0.01645893,0.9742682
62015,-0.03015715,-0.01645893,0.9742682
62018,-0.03015715,-0.01645893,0.98043895
62020,-0.03015715,-0.010306,0.9742682
62022,-0.03015715,-0.010306,0.98043895
62024,-0.02413779,-0.010306,0.98043895
62027,-0.02413779,-0.010306,0.98043895
62029,-0.02413779,-0.010306,0.98043895
62031,-0.03015715,-0.010306,0.98043895
62034,-0.03617656,-0.01645893,0.9742682
62036,-0.03015715,-0.010306,0.98043895
62039,-0.03015715,-0.01645893,0.98043895
62042,-0.02413779,-0.010306,0.98043895
62044,-0.02413779,-0.01645893,0.9742682
62046,-0.03015715,-0.010306,0.9742682
62048,-0.03015715,-0.010306,0.98043895
62051,-0.01811838,-0.010306,0.9742682
62053,-0.03015715,-0.010306,0.9742682
62055,-0.03015715,-0.010306,0.9742682
62058,-0.03015715,-0.010306,0.9742682
62060,-0.03015715,-0.010306,0.9742682
62062,-0.03015715,-0.010306,0.9742682
62065,-0.03015715,-0.010306,0.9742682
62067,-0.01811838,0.00199974,0.98043895
62069,-0.03015715,-0.010306,0.9742682
62071,-0.03015715,-0.010306,0.9742682
62074,-0.03015715,-0.010306,0.98043895
62076,-0.03015715,-0.010306,0.9742682
62078,-0.03015715,-0.01645893,0.98043895
62082,-0.03015715,-0.01645893,0.9742682
62084,-0.03617656,-0.0226118,0.9866097
62086,-0.02413779,-0.01645893,0.98043895
62088,-0.02413779,-0.010306,0.9742682
62091,-0.02413779,-0.010306,0.98043895
62093,-0.02413779,-0.010306,0.98043895
62095,-0.03015715,-0.010306,0.9742682
62098,-0.03015715,-0.010306,0.96809745
62100,-0.04821533,-0.02876472,0.96809745
62102,-0.03015715,-0.01645893,0.9742682
62105,-0.03015715,-0.010306,0.98043895
62107,-0.02413779,-0.010306,0.98043895
62109,-0.03015715,-0.010306,0.98043895
62111,-0.03015715,-0.010306,0.9742682
62114,-0.03015715,-0.010306,0.9742682
62116,-0.03617656,-0.02876472,0.95575595
62118,-0.03015715,-0.010306,0.9742682
62121,-0.02413779,-0.010306,0.9742682
62124,-0.03015715,-0.010306,0.9866097
62126,-0.02413779,-0.010306,0.9866097
62128,-0.03015715,-0.010306,0.98043895
62131,-0.02413779,-0.010306,0.9742682
62133,-0.02413779,-0.010306,0.9619267
62135,-0.03015715,-0.010306,0.98043895
62138,-0.02413779,-0.010306,0.98043895
62140,-0.02413779,-0.010306,0.98043895
62142,-0.02413779,-0.010306,0.9742682
62145,-0.03015715,-0.01645893,0.9742682
62147,-0.02413779,-0.01645893,0.98043895
62149,-0.01811838,-0.00415313,0.98043895
62151,-0.02413779,-0.010306,0.9742682
62154,-0.03015715,-0.010306,0.9742682
62156,-0.03015715,-0.01645893,0.9742682
62158,-0.03015715,-0.010306,0.9742682
62161,-0.03015715,-0.01645893,0.96809745
62163,-0.03015715,-0.01645893,0.96809745
62166,-0.02413779,-0.00415313,0.9866097
62168,-0.02413779,-0.01645893,0.98043895
62171,-0.03015715,-0.010306,0.98043895
62173,-0.03015715,-0.01645893,0.98043895
62175,-0.02413779,-0.01645893,0.98043895
62178,-0.02413779,-0.01645893,0.9742682
62180,-0.02413779,-0.01645893,0.9742682
62182,-0.03617656,-0.01645893,0.98043895
62185,-0.03015715,-0.010306,0.9742682
62187,-0.03015715,-0.010306,0.9742682
62189,-0.03015715,-0.010306,0.9742682
62191,-0.02413779,-0.010306,0.98043895
62194,-0.02413779,-0.00415313,0.98043895
62196,-0.03015715,-0.010306,0.98043895
62198,-0.02413779,-0.010306,0.9742682
62201,-0.03015715,-0.010306,0.98043895
62203,-0.02413779,-0.010306,0.9742682
62205,-0.02413779,-0.01645893,0.9742682
62208,-0.02413779,-0.010306,0.9742682
62211,-0.03015715,-0.01645893,0.9742682
62213,-0.03015715,-0.01645893,0.9742682
