,X Axis,Y Axis,Z Axis
644708,-0.00006026,0.96185219,0.03631496
644710,-0.00006026,0.96185219,0.04248571
644713,-0.00607961,0.96800506,0.04248571
644715,-0.00607961,0.96800506,0.03631496
644717,-0.00607961,0.98031092,0.04248571
644720,-0.00006026,0.96800506,0.03014421
644722,-0.00006026,0.96800506,0.03014421
644724,-0.00006026,0.96800506,0.03631496
644727,-0.00006026,0.96800506,0.03014421
644729,-0.00006026,0.96800506,0.03014421
644731,-0.00006026,0.96800506,0.03014421
644733,-0.01209903,0.95569932,0.03014421
644737,0.00595915,0.96185219,0.03631496
644739,-0.00006026,0.96185219,0.03631496
644741,-0.00607961,0.96185219,0.03014421
644744,-0.00006026,0.96185219,0.03631496
644746,-0.00607961,0.96800506,0.04248571
644748,-0.00607961,0.96800506,0.04248571
644750,-0.01811838,0.94339347,0.03014421
644753,-0.00006026,0.97415793,0.04248571
644755,-0.00006026,0.96185219,0.03631496
644757,-0.00607961,0.96185219,0.03631496
644760,-0.00607961,0.95569932,0.03631496
644762,-0.00006026,0.95569932,0.03631496
644764,-0.00006026,0.95569932,0.03631496
644767,-0.00607961,0.94339347,0.01780272
644769,-0.00006026,0.98031092,0.03631496
644771,-0.00006026,0.98031092,0.04248571
644773,-0.00006026,0.97415793,0.03631496
644776,-0.00607961,0.96800506,0.03014421
644779,-0.00006026,0.96185219,0.03014421
644781,0.00595915,0.95569932,0.03014421
644784,0.00595915,0.95569932,0.02397346
644786,-0.00006026,0.96800506,0.03631496
644788,-0.00006026,0.97415793,0.03631496
644791,-0.00607961,0.97415793,0.03631496
644793,-0.00006026,0.97415793,0.03631496
644795,-0.00006026,0.97415793,0.04248571
644797,-0.00607961,0.96185219,0.03631496
644800,-0.00006026,0.96185219,0.03631496
644802,-0.00006026,0.94954634,0.03014421
644804,-0.00006026,0.94954634,0.03631496
644807,-0.00607961,0.94954634,0.03631496
644809,-0.00607961,0.96185219,0.03631496
644811,-0.00607961,0.96185219,0.03631496
644813,-0.00607961,0.96800506,0.04248571
644816,-0.00006026,0.96800506,0.04248571
644818,-0.00006026,0.96800506,0.03631496
644820,-0.00006026,0.96185219,0.03014421
644824,-0.00006026,0.95569932,0.03014421
644826,-0.00607961,0.95569932,0.03631496
644828,-0.00006026,0.96185219,0.03631496
644831,-0.00607961,0.96185219,0.03631496
644833,-0.00006026,0.96800506,0.04248571
644835,-0.00006026,0.97415793,0.04248571
644837,-0.00006026,0.96800506,0.03631496
644840,-0.00607961,0.96800506,0.03631496
644842,-0.00006026,0.95569932,0.03631496
644844,-0.00006026,0.95569932,0.03014421
644847,-0.00006026,0.95569932,0.03014421
644849,-0.00006026,0.95569932,0.02397346
644851,-0.01209903,0.94954634,0.03014421
644853,-0.00607961,0.96800506,0.03631496
644856,-0.00607961,0.96800506,0.03014421
644858,-0.00607961,0.96185219,0.03014421
644860,-0.00607961,0.96185219,0.03631496
644864,-0.00607961,0.96185219,0.03631496
644866,-0.00607961,0.96185219,0.03014421
644868,0.00595915,0.95569932,0.03014421
644871,-0.00006026,0.95569932,0.03631496
644873,-0.00607961,0.95569932,0.03631496
644875,-0.00006026,0.95569932,0.03631496
644877,-0.00607961,0.96185219,0.04248571
644880,-0.00607961,0.96800506,0.03631496
644882,-0.00607961,0.96800506,0.03631496
644884,-0.00006026,0.98031092,0.04248571
644887,-0.00607961,0.96185219,0.04248571
644889,-0.00607961,0.96185219,0.03631496
644891,-0.00607961,0.95569932,0.03631496
644893,-0.01209903,0.96185219,0.03014421
644896,-0.00607961,0.96800506,0.02397346
644898,-0.00607961,0.96800506,0.03014421
644900,-0.01209903,0.98031092,0.04248571
644903,-0.00006026,0.96800506,0.03631496
644905,-0.00607961,0.96185219,0.03631496
644908,-0.00006026,0.96185219,0.03631496
644911,-0.00006026,0.95569932,0.04248571
644913,-0.00006026,0.96185219,0.03631496
644915,-0.00006026,0.96185219,0.03631496
644917,-0.01811838,0.94954634,0.03014421
644920,-0.00006026,0.96185219,0.04248571
644922,-0.00006026,0.96185219,0.03631496
644924,-0.00006026,0.96185219,0.03631496
644927,-0.00607961,0.96185219,0.03014421
644929,-0.00006026,0.96800506,0.03014421
644931,-0.00006026,0.96800506,0.03014421
644933,-0.01209903,0.9372406,0.01780272
644936,-0.00006026,0.96800506,0.03014421
644938,-0.00607961,0.96185219,0.03014421
644940,-0.00607961,0.96185219,0.03631496
644943,-0.00607961,0.96185219,0.03631496
644945,-0.00607961,0.96185219,0.03014421
644947,-0.00006026,0.96185219,0.03014421
644951,-0.00607961,0.94339347,0.01163197
644953,-0.00607961,0.96185219,0.02397346
644955,-0.00006026,0.96185219,0.03014421
644957,-0.00607961,0.96185219,0.03014421
644960,-0.00607961,0.96185219,0.03014421
644962,-0.00607961,0.96185219,0.02397346
644964,-0.01209903,0.96185219,0.03014421
644967,-0.00006026,0.96800506,0.03631496
644969,-0.00607961,0.96185219,0.03631496
644971,-0.01209903,0.96185219,0.03631496
644973,-0.01209903,0.96185219,0.03631496
644976,-0.00607961,0.96185219,0.03631496
644978,-0.00607961,0.96185219,0.03014421
644980,-0.00607961,0.96185219,0.03631496
644983,-0.00607961,0.96800506,0.04248571
644985,-0.00006026,0.96185219,0.04248571
644987,-0.00607961,0.96185219,0.03631496
644990,-0.00607961,0.96185219,0.03631496
644993,-0.00607961,0.96185219,0.03631496
644995,-0.00607961,0.96800506,0.03631496
644997,-0.00607961,0.96185219,0.03631496
645000,-0.00607961,0.96800506,0.04248571
645002,-0.00006026,0.96800506,0.04248571
645004,-0.00006026,0.96185219,0.03631496
645007,-0.00006026,0.96185219,0.03014421
645009,-0.00006026,0.96185219,0.03631496
645011,-0.00006026,0.96185219,0.03014421
645013,-0.00607961,0.96185219,0.03631496
645016,-0.00006026,0.96185219,0.03014421
645018,-0.00607961,0.96800506,0.03014421
645020,-0.00006026,0.96185219,0.03014421
645023,-0.00006026,0.96185219,0.03014421
645025,-0.00006026,0.96800506,0.03014421
645027,-0.00006026,0.96185219,0.03631496
645030,-0.00006026,0.96800506,0.03014421
645032,-0.00006026,0.96800506,0.02397346
645035,-0.00607961,0.95569932,0.02397346
645037,-0.00607961,0.96800506,0.03014421
645040,-0.00607961,0.96185219,0.02397346
645042,-0.01209903,0.96185219,0.03014421
645044,-0.00607961,0.96185219,0.02397346
645047,-0.00607961,0.96185219,0.02397346
645049,-0.00607961,0.96185219,0.03014421
645051,0.00595915,0.96800506,0.03014421
